startup_id,composite_score,true_outcome,market,Random_decision,Random_correct,Random_return,Rule-Based_decision,Rule-Based_correct,Rule-Based_return,ML_decision,ML_correct,ML_return,RL_decision,RL_correct,RL_return,score_bucket
21,0.3418,0,downturn,REJECT,1,0.0,INVEST,0,-0.75,WATCHLIST,1,0.2,REJECT,1,0.0,"(0.302, 0.411]"
22,0.0847,0,downturn,INVEST,0,-0.75,REJECT,1,0.0,REJECT,1,0.0,REJECT,1,0.0,"(0.0824, 0.192]"
23,0.4314,0,downturn,WATCHLIST,1,0.2,INVEST,0,-0.75,WATCHLIST,1,0.2,WATCHLIST,1,0.2,"(0.411, 0.52]"
24,0.4061,0,downturn,INVEST,0,-0.75,INVEST,0,-0.75,REJECT,1,0.0,WATCHLIST,1,0.2,"(0.302, 0.411]"
25,0.5503,1,downturn,INVEST,1,2.62,INVEST,1,2.62,INVEST,1,2.62,WATCHLIST,1,0.2,"(0.52, 0.63]"
26,0.4496,0,downturn,REJECT,1,0.0,INVEST,0,-0.75,WATCHLIST,1,0.2,WATCHLIST,1,0.2,"(0.411, 0.52]"
27,0.0829,0,downturn,REJECT,1,0.0,REJECT,1,0.0,REJECT,1,0.0,REJECT,1,0.0,"(0.0824, 0.192]"
28,0.4883,0,downturn,REJECT,1,0.0,INVEST,0,-0.75,INVEST,0,-0.75,WATCHLIST,1,0.2,"(0.411, 0.52]"
29,0.4478,0,downturn,WATCHLIST,1,0.2,INVEST,0,-0.75,INVEST,0,-0.75,WATCHLIST,1,0.2,"(0.411, 0.52]"
30,0.3347,0,downturn,WATCHLIST,1,0.2,INVEST,0,-0.75,REJECT,1,0.0,REJECT,1,0.0,"(0.302, 0.411]"
31,0.3635,0,downturn,WATCHLIST,1,0.2,INVEST,0,-0.75,INVEST,0,-0.75,REJECT,1,0.0,"(0.302, 0.411]"
32,0.595,1,downturn,WATCHLIST,1,0.2,INVEST,1,2.62,INVEST,1,2.62,WATCHLIST,1,0.2,"(0.52, 0.63]"
33,0.2103,0,downturn,INVEST,0,-0.75,WATCHLIST,1,0.2,REJECT,1,0.0,REJECT,1,0.0,"(0.192, 0.302]"
34,0.4788,0,downturn,INVEST,0,-0.75,INVEST,0,-0.75,INVEST,0,-0.75,WATCHLIST,1,0.2,"(0.411, 0.52]"
35,0.4473,0,downturn,WATCHLIST,1,0.2,INVEST,0,-0.75,INVEST,0,-0.75,WATCHLIST,1,0.2,"(0.411, 0.52]"
36,0.6147,1,downturn,REJECT,0,0.0,INVEST,1,2.62,INVEST,1,2.62,WATCHLIST,1,0.2,"(0.52, 0.63]"
37,0.6209,1,downturn,WATCHLIST,1,0.2,INVEST,1,2.62,INVEST,1,2.62,WATCHLIST,1,0.2,"(0.52, 0.63]"
38,0.5027,0,downturn,REJECT,1,0.0,INVEST,0,-0.75,INVEST,0,-0.75,WATCHLIST,1,0.2,"(0.411, 0.52]"
39,0.2572,0,downturn,WATCHLIST,1,0.2,INVEST,0,-0.75,REJECT,1,0.0,REJECT,1,0.0,"(0.192, 0.302]"
40,0.6,1,downturn,WATCHLIST,1,0.2,INVEST,1,2.62,INVEST,1,2.62,WATCHLIST,1,0.2,"(0.52, 0.63]"
41,0.32,0,downturn,WATCHLIST,1,0.2,INVEST,0,-0.75,INVEST,0,-0.75,REJECT,1,0.0,"(0.302, 0.411]"
42,0.4563,0,downturn,REJECT,1,0.0,INVEST,0,-0.75,INVEST,0,-0.75,WATCHLIST,1,0.2,"(0.411, 0.52]"
43,0.1878,0,downturn,INVEST,0,-0.75,REJECT,1,0.0,REJECT,1,0.0,REJECT,1,0.0,"(0.0824, 0.192]"
44,0.348,0,downturn,WATCHLIST,1,0.2,INVEST,0,-0.75,REJECT,1,0.0,REJECT,1,0.0,"(0.302, 0.411]"
45,0.3653,0,downturn,REJECT,1,0.0,WATCHLIST,1,0.2,REJECT,1,0.0,REJECT,1,0.0,"(0.302, 0.411]"
46,0.4089,0,downturn,WATCHLIST,1,0.2,INVEST,0,-0.75,INVEST,0,-0.75,WATCHLIST,1,0.2,"(0.302, 0.411]"
47,0.5456,0,downturn,REJECT,1,0.0,INVEST,0,-0.75,INVEST,0,-0.75,WATCHLIST,1,0.2,"(0.52, 0.63]"
48,0.5678,1,downturn,WATCHLIST,1,0.2,INVEST,1,2.62,INVEST,1,2.62,WATCHLIST,1,0.2,"(0.52, 0.63]"
49,0.5655,1,downturn,INVEST,1,2.62,INVEST,1,2.62,INVEST,1,2.62,WATCHLIST,1,0.2,"(0.52, 0.63]"
50,0.333,0,downturn,WATCHLIST,1,0.2,INVEST,0,-0.75,WATCHLIST,1,0.2,REJECT,1,0.0,"(0.302, 0.411]"
